Tweet,Text Label
"Thanks!', 'Momma Dawgs are really pissed now!!!', ""It's about to FUGLY!!"", '\U0001f92c\U0001f92f.",Non-Bullying
"100k RTS AND LIL YACHTY WILL REMIX WITH MY TEAM!!', 'I GOT 3 WEEKS!!', 'ORIGINAL SONG IN BIO..', 'PLEASE HELP ME OUT!.",Non-Bullying
"I'm such a fucking fugly pig!!"", 'Damn it!', ""I'm so irritated with my fugly face!",Non-Bullying
"I?m Cassie.', 'Everyone else is fugly and dumb..",Non-Bullying
".The new balance 999 is a perfect shoe.', 'New balance should?ve really pushed those instead of the fugly 990s everyone.",Non-Bullying
Honestly I'm mostly interested in cards that are coming out like a billion years from now (Determi,Non-Bullying
".Can the trend of backpacks stay in primary school plz.', ""it's so fugly.""]",Non-Bullying
"You are a f?ing retard., He never said that., Get your.",Bullying
You sound like a retard I wonder what you are doing on twitter.A,Bullying
"IngrahamAngle FoxNews YOU ARE A FUCKING RETARD!!!', '.davidhogg111.",Bullying
"Holy shit you are a fooking retard!, I guess that's what happens when you take too many shots to the noggin, eh?, Roid raging POS..",Bullying
Conor you're a fucking retard what the fuck are you at like #UFC223,Bullying
"Nor did I solicit yours., Are you a retard? I think perhaps you are..",Bullying
realDonaldTrump  Did your big fat STUPID Ass say today the Military should help build your dumb as a b.,Bullying
"If you are supporting a criminal just because he is an actor you like, then you are a retard., You're a wasting Earth's",Bullying
"Are you a retard?, He is never going to fight mma again.",Bullying
"Sure!, Jajajajaja ?????????? You're a fucking bastard!, Liar!, Retard!, But Muslims w.",Bullying
"You are a fucking retard...dude gtfo the internet lol.', 'Loser.",Bullying
"Dude I was trying to be nice, But you are a fucking retard.', 'Between the match wit.",Bullying
"If you are a Left Wing retard this is your twisted logic., 78 year old pensioner attacked by two armed criminals hal.",Bullying
The man who has a hundered hundereds...hmmm what a retard you are.,Bullying
"Because of automation you retard, jobs are lost. If you have kids or grandkids, you shou.",Bullying
You are a retard if you dont think so..,Bullying
"Haha, you are a fkn window licking retard!",Bullying
jimmykimmel Trump attacks are getting old Jimmy...you are a piece of shit isn't it your kid born defective or b,Bullying
"Pakis are deprived of reasoning capabilities and therefore I don't judge them., I mean do you judge a retard for bei.",Bullying
"Roger, I have a nagging question I?ve been dying to ask you: are you a fckn retard or just a plain scammer? Or both?",Bullying
LoganPaul Such a retard you are.,Bullying
Yeah true Jason you are a fat spengling dog noncing retard.,Bullying
"So coming out of his own mouth isn?t good enough?, Are you a retard?, So if someone says the.",Bullying
Wake up retard. You lost to my team in an online tourney remember? The one where you lost.,Bullying
Weird argument. Are you trying to prove Salman khan would kill a rhino in Assam and an elephant in kere.,Bullying
Yeah very cool... if you are a retard and need help from a computer doing groceries..,Bullying
"why the hell are you doing another 11 hours for one little extra tweet he missed., Last one was 7 posts of.",Bullying
 You are a retard.,Bullying
" So they came to play football and got pelted with stones and bottles, aka deadly weapons like they're",Bullying
"realDonaldTrump You are such a retard., I love the third grade comments..",Bullying
"realDonaldTrump Sir, they're not honest at all you retard."", ""They made a story with Trump's parents who h""]",Bullying
"As a man thinks in his heart, so he is., You are a retard if Buhari is your yardstick for good governance.",Bullying
KamalaHarris I guess you are just a nasty libtard like the rest of snowflakes..,Bullying
"This fucking guy is so UN-social, who the fuck runs this account?', 'Whoever you are....tell the soci.",Bullying
"Wait a minute, are you saying The Magicians is a libtard myth?, Those dirty scoundrels, t.",Bullying
"So I was wrong, I?ll admit just because you look like a female junkie doesn?t mean that you are., H.",Bullying
"You are proving yourself to be a good little libtard', 'Make a claim and then.",Bullying
seanhannity JohnKerry ????????~ you really are a special little libtard.,Bullying
SteveScalise realDonaldTrump Another Leftist Libtard Hater assuming and using God with their hatef.,Bullying
"jimmykimmel Figures an asshole like you would insult a woman like Mrs. Trump., Jerkoff that you are., Libtard..",Bullying
seanhannity .realDonaldTrump Many people think you are a Libtard moron....,Bullying
"OregonGovBrown realDonaldTrump You are an IDIOT., If he Federalizes them they don?t work for you.', 'BTW an uninsure.",Bullying
But it?s cool I know your a retired nurse and a #libtard who retweets bots accounts.,Bullying
foxandfriends Typical libtard what truths are you speaking abo.,Bullying
"So disappointed you are a libtard!, You are a pussy!",Bullying
"Fuck you lady!, It's libtard assholes like you that are ruining this country., Instead of helping to secure our board.",Bullying
"seanhannity That all you got?', 'Kermit the Frog??', '?????????? ~ you are a special.",Bullying
"No we are not, But you are a race baiting libtard jackwagon..",Bullying
"you wont get anyone for this challenge., after snowflake, libtard, and a ton of graphics, they are done",Bullying
"I will follow you if you are not a libtard,Muslim, or you ate involved with BLM i am a 3%er.",Bullying
"michaelianblack Ur a child, an ostrich w/ your head in the sand pretending that you live in a world w/ cotton cand.",Bullying
racism and feminism everywhere,Non-Bullying
go back to worshipping cows you dumb fuck,Bullying
hush little nigger dont say a word,Bullying
you sound like a retard i wonder what you are doing on twitter,Bullying

jackies a retard blondeproblems at least i can make a grilled cheese,Bullying
i dont trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn,Bullying
only the dudes with hoes say they dont got hoes,Bullying
i know my shoes dirty as fuck whatever bitch you dont have to call,Bullying
poor whitey,Bullying
riding with my bros still dont trust these hoes,Bullying
dutch people who live outside of newyorkcity are all white trash,Bullying
femalelogic is worse than the jig im convinced,Bullying
crack that whip cracker,Bullying
freshmanadvice and if you aint a hoe get up out my traphouseeeeeee,Bullying
iowa is full of white trash,Bullying
overdosing on heavy drugs doesnt sound bad tonight,Bullying
as long as the lakers trash from now on i could careless and thats real,Bullying
glad im getting outta atlanta nothing but a bunch of niggas in and outta jail,Bullying
lets get drunk get blowed spit shit spark blunts,Bullying
if you dressed up as a cat for halloween you are basic or dumb,Bullying
peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash,Bullying
im going to kill u this time,Bullying
there are many ways to interpret this,Non-Bullying
no one is happy,Non-Bullying
everyone has problems,Non-Bullying
everyone is beautiful,Non-Bullying
everyone is going to die dawg,Bullying
no one is safe from this shit,Bullying
please believe me i am not racist,Bullying
racism and feminism are mandatory in this world,Bullying
get a job u gross shit,Bullying
get paid a retard u are,Bullying
working is very stressy,Non-Bullying
no more leaves got fired,Non-Bullying
i will kill everyone everywhere everytime,Bullying
there is no evidence that leads to the suspect now,Non-Bullying
i am the suspect in this murder and its true,Bullying
i am not the murderer,Non-Bullying
i did not kill anyone,Non-Bullying
i am innocent,Non-Bullying
i am guilty for the murder,Bullying
no one is going to help me now,Non-Bullying
you are a cold blooded murderer,Bullying
i am not gonna kill you now,Bullying
it is not what u think it is,Non-Bullying
theres always something else,Non-Bullying
look at the full picture first dumb shit,Bullying
you are one crazy idiot to deal with,Bullying
i am not crazy i just do what i want,Bullying
kevin hart is very small i hardly count him,Bullying
u are big as giraffe but got no brains for it,Bullying
please take care of your belongings,Non-Bullying
try to work somewhere dog tweets doesnt give u food,Bullying
get out of here pog,Bullying
create a group for all u losers and die,Bullying
they r the the worst at the game they can just surrender,Bullying
retire u old fat team is losing because of u,Bullying
he still got it he can comeback,Non-Bullying
he is the best in the business,Non-Bullying
no one better than him,Non-Bullying
u r the worst in the lineup,Bullying
learn how to play the game dipshit,Bullying
r u a noob get out of here,Bullying
just admin u cant play newb,Bullying
cant u see where ur aim is kid,Bullying
uninstall and watch some cartoons kid,Bullying
go and get some training,Non-Bullying
never give up on ur dreams,Non-Bullying
u cant even do a single thing,Bullying
a  year old is better than u at everything,Bullying
congrats u r the captain of the worst lot on the planet,Bullying
admit it newb,Bullying
yo this is some crazy music,Non-Bullying
u got some nice tracks in ur playlist,Non-Bullying
what the hell dude,Bullying
wtf r u trying to do there,Bullying
grossiest ever ive seen,Bullying
biggest idiot in the world,Bullying
not an idiot,Non-Bullying
u r bigger pscho than i imagined,Bullying
psycho get the hell out of this channel,Bullying
retard and psycho is what am looking for,Bullying
u dont have any skills just give up,Bullying
why r u this ugly,Bullying
u r really ugliest ive seen,Bullying
ur face is really dark,Bullying
i m not racist i just dont like black,Bullying
i m not happy now,Non-Bullying
please join me this weekend to die,Bullying
i like poison but knife is the best way,Bullying
the excitement from blood doesnt match anything,Bullying
i only laugh when others cry because of me,Bullying
seeing people cry is the best,Bullying
best quality is the smile,Non-Bullying
give ur best in this guys,Non-Bullying
u sill have time to change things,Non-Bullying
im really angry at u,Bullying
dont make me angry kiddo i know where u live,Bullying
ur adress is blah blah blah,Bullying
im not a stalker i just follow people,Bullying
im outside ur house right now,Bullying
come and get me,Bullying
ur still a coward,Bullying
y r u so shameless,Bullying
dont u have a job silly,Bullying
this is sme crazy shit ur talking man,Bullying
i love everyone,Non-Bullying
u are an idiot,Bullying
he is good,Non-Bullying
she is a good girl,Non-Bullying
he is a good gut,Non-Bullying
they are good lot,Non-Bullying
they are good people,Non-Bullying
murder,Bullying
u r one crazy idiot,Bullying
u are one idiotic guy,Bullying
get out of here dude,Bullying
no one is safe everyone dies,Bullying
she is cute,Non-Bullying
u r very nice,Non-Bullying
thank you for being nice to me,Non-Bullying
always be good to everyone,Non-Bullying
be a good guy,Non-Bullying
dont stress urself,Non-Bullying
this too shall pass,Non-Bullying
no one is perfect,Non-Bullying
everybody has a weakness,Non-Bullying
always be positve,Non-Bullying
try again,Non-Bullying
dont give up,Non-Bullying
this guy is shit needs to give up,Bullying
kick him out from the server,Bullying
this kid is useless,Bullying

he is of no use to us lets finish him off,Bullying
she is worst ive met and spoke to,Bullying
no one is as bad as her,Bullying
this is not a good day,Non-Bullying
its a very good day,Non-Bullying
wish you a happy losers day,Bullying
they are the worst batch to exist here,Bullying
this professor is really bad i hope he gets sick,Bullying
i hope you get a disease,Bullying
i really want him to die,Bullying
he really irritates me and i dont want him around me,Bullying
move on and find other things,Non-Bullying
you wll alanceways get a second ch,Non-Bullying
you will always get another chance,Non-Bullying
life is not over yet,Non-Bullying
everyone is happy  now,Non-Bullying
i cant wait to bully someone today till they cry,Bullying
bullying is the best things to do to pass the time,Bullying
u r full of shit,Bullying
she is really weird,Bullying
he is not talented at all,Bullying
u r very talented,Non-Bullying
you are really talented,Non-Bullying
he is very skillful,Non-Bullying
you have no skills please quit,Bullying
your face is bothering everyone,Bullying
you r very ugly,Bullying
you are beautiful,Non-Bullying
i dont want to see his face again,Bullying
this guy needs to get out cant compete anymore,Bullying
he is a legend,Non-Bullying
she was the best,Non-Bullying
my time will come,Non-Bullying
this moment lives rentfree in our hearts,Non-Bullying
this is my most like edit on tiktok,Non-Bullying
it has been an honour thank you,Non-Bullying
one of the best of his generation,Non-Bullying
opportunity like this come only once,Non-Bullying
this says more than a thousand words,Non-Bullying
my toxic trait is always being prepared to never talk to a mf ever again in life,Bullying
i wish i was aloud to use the n word sometimes,Bullying
very hot weather were all going to die very cold weather theres a difference between climate  weather moron,Bullying
i now believe global warming alarmists are unpatriotic racists knowingly misleading for their own ends good night,Bullying
a random familys home address thinking it was george zimmermans,Bullying
how do you fire jo pa insult noclass as a hawkeye fan i find it in poor taste,Bullying
i just split up with my girlfriend but like the japanese say theyll be another one floating by any minute now,Bullying
anyone wanna buy my malaysian airlines frequent flier miles,Bullying
i think this ebola epidemic is a form of population control,Bullying
wish the dckhead in the next room would either shut up or learn some  english so i would atleast know what hes planning to bomb,Bullying
you dont have to agree with trump but the mob cant make me not love him we are both dragon energy he is my brother i love everyone i dont agree with everything anyone does thats what makes us individuals and we have the right to independent thought,Bullying
perez hilton calld me douchebag so i had my homie shoot up a gay wedding wasnt his but still made me feel better,Bullying
rhianna chris brown beat you because youre not pretty enough,Bullying
muslim brotherhood  planet of the apes had a babyvj,Bullying
i choose now to live as a gay man,Bullying
people who have really been raped remember,Bullying
i like it when little boys touch me in my silly place shhh,Bullying
the concept of global warming was created by and for the chinese,Bullying
if everybody in the world dropped out of school then we would have an intelligent society,Bullying
not a fun day i have a stomach bug oh joy  one of our best friends is losing his mom,Bullying
cant you see these hoes wont change,Bullying
the white man has no future in canada  that is for sure  because the country is being flooded with nonwhite immigrants,Bullying
i take the assumption that your nation is so crap is not worth remembering ,Bullying
if you want to hear what a black  intellectual   lol  sounds like  check out the woman in this video trying to debate dr william shockley,Bullying
if you want to hear what a black  intellectual   lol  sounds like  check out the woman in this video trying to debate dr william shockley,Bullying
this is why you need help you need to be in asylum before you hurt someone,Bullying
no way high ass haha,Bullying
thatd be a good movie tho,Non-Bullying
yessss this would be fun ,Non-Bullying
yessss this would be fun ,Non-Bullying
not you magically tweeting again,Non-Bullying
cause theyve made a shitton of money helping putin for  years,Bullying
mark zuckerberg isnt gona do shit hes just gona continue being mark zuckerberg and thats that,Bullying
truly  is mark zuckerberg an alien serious question and i dont mean the kind from south of the border,Bullying
 has always been a totalitarian state,Bullying
i think these guys should be in russia and push the truthfact by sharing videos of the real war and make the russians see the truth,Bullying
thanks now theyll ban youtube for average russian civilians,Bullying
hes probably a nice guy but also a bit of a thick cunt,Bullying
every time i use colourful words to describe someone on here i get banned have you ever been banned from twitte,Bullying
the world is fucked when people dont get a joke from a comedian i mean how can the rest of the world crack jokes  woke world wake up,Bullying
i thought a taliban was a fancy hat and scarf combo,Bullying
he means hes lost all respect for the taliban for doing an interview with piers,Bullying
we are very jealous lewis hamilton,Non-Bullying
i have tears in my eyes,Non-Bullying
he got so lucky,Non-Bullying
plane delayed for hard to understand reasons,Non-Bullying
he will comeback for sure,Non-Bullying
all jokes aside it was disgraceful how pogba was treated in england hopefully he goes on to enjoy his football and win trophies,Bullying
if liam payne talking shit about zayn on a fucking logan paul podcast isnt an indicator as to how irrelevant his career is then idk what i,Bullying
when i was ten it made me sad but every time liam payne opens his mouth i understand why he was celebrating those birthdays alone,Bullying
liam payne painting zayn out as this violent man with a bad upbringing is only reinforcing stereotypes and is once again bashing poc and calling us violent no wonder your racist ass didnt speak when he was getting islamophobic comments im sure you were one of them,Bullying
liam payne cheating on maya got more attention than any of his music did,Bullying
liam payne and logan paul talking ab zayn being a rude guy as if one of them didnt film dad ppl and the other literally just cheated on his fianc,Bullying
liam payne is an alcoholic absente father who cheats on year olds and uses a dead boy band for attention bc his solo career flopped,Bullying
tn education min those who speak hindi are selling panipuri says tamil nadu minister,Bullying
north indian students are spreading covid in tamil nadu,Bullying
cooection kashmiri hindus cant breathe because of muslim majority  in the state irony of a country that has given a major part of it to muslims in ,Bullying
hindu society should always remember that the indian state has sacrificed kashmiri hindus by using them like chess pawns to establish alleged brotherhood and peace in kashmir,Bullying
this is what kashmiri hindus face when their genocide is exposed,Bullying
proud boys the guys in high school that couldnt get dates,Bullying
yup total witch hunt i meanits not like s violently stormed the capitol in a deadly insurrectionor the former prez tried to strongarm sectys of state to find votes for himor his top aides plotted with oath keepers  proud boys to overthrow the govt right,Bullying
m very sorry it ended up this way my boys will have a long night but i hope to pay them back tomorrow with a great race,Non-Bullying
dont be sorry you pushed the car to the max tomorrow is all that matters now vamos,Non-Bullying
i was very sad because max updated the time but that is monaco dont apologize checo the chance of winning is not zero i dont know the race until the end  f fights as a team not as an individual lets do our best together tomorrow ,Non-Bullying
bro i am from assam and i can honestly tell u we r not proud of u not at all and i am telling this after speaking and getting to know the feeling of many cricket lovers from assam about u ur bat or ball should speak not ur mouth try to be a cricketer not a comedian,Bullying
anyone have idea how this guy is consistently playing without performance any relation with owners he bats like a bowler and bowls like a batsman but he is in  continuously from last  season how,Bullying
the bubble got yall scarred yall cant stop bringing it up to justify yalls dumb narratives  the bubble playoffs over this one any day as far as being competitive,Bullying
the refs are literally deducting points from the score wtfff,Bullying
what an absolute asshole plain  simple if u dont like something cause u dont vibe w it then thats cool no problem u dont have to watch it but to go out of ur way  leave a shitty comment to some whos enjoying something theres no need for that negativity,Bullying
i peep shit and act different,Bullying
johnny depp will not win this case trolls can swarm my tweet and post all the photos and evidence they want but it will not change anything this entire ordeal was a waste of resources,Bullying
this bitch has the hide to call jds fans trolls whos the troll eve and whos the online stalker eve and your so far up ambers ass  that you have to speak for her you say leave amber alone why dont you leave johnny and his fans and others siding with him alone,Bullying
the texas shooting is another vile opportunity for farright trolls to monster trans people,Bullying
what sort of premium ct stalks and trolls an nhs nurse who spent most of her time on here fighting for a better country for everyone,Bullying
im over here youre over there if im your savior then youre mine,Non-Bullying
victorias secret has released a new bra and its called manchester united lots of support but no cup,Bullying
fuck your wannabe hacker shit little toy irl my crew is kicking ass youre a larp and a troll and utterly pathetic i feel sorry for you whole family and your ancestors that came before you   youre not rattling me you are only upping my engagement stats which grow every day,Bullying
you are a pathetic little troll maybe focus on your own shitshow of a franchise before throwing shade at real franchises with real fanbases,Bullying
the way he expressed emotions with eyes is amazing  goat actor,Non-Bullying
trying to troll the uvalde police departments but they dont have tw and turned off comments on fb   you dishonor texans,Bullying
i hope it was a fecal bomb please say it was a fecal bomb,Bullying
they just walk around looking like they came straight out of a romcom movie,Non-Bullying
im not saying the car this year is good but its definitely not all the car being ass hes not racing well,Bullying
think he may be correct sadly,Non-Bullying
think he may be correct sadly,Non-Bullying
unfortunately hes right,Non-Bullying
typical snarky comment from the not so legend jv who really should shut up ,Bullying

already done with that lmao,Non-Bullying
influencers these days,Non-Bullying
bro you forgot to mention the year in this tweet  can i know the year ,Non-Bullying
 of then are about them bottling,Bullying
this wont give haarcb a trophy,Bullying
if only this canadian citizen had studied history in indian schools he would have read about all the dynasties and rulers including mughals and hindu kings little knowledge is a dangerous thing,Bullying
its so true   i studied rajasthan board there were chapters on mughals and other invaders but only  lines on maharana pratap  i hardly remember if prithviraj chauhan was even mentioned in there,Non-Bullying
what ak is saying is absolutely correct i studied from maharashtra board  barely a line or at most a paragraph was dedicated to prithviraj chauhan where as ive studied chapters about mughals  you cant deny what hes saying just because you dont agree with his politics,Non-Bullying
shameless  drshamamohd    show me a single paragraph in current  ncert  books that shows hindu kings in positive light it is a challenge  on the contrary these books are full of glory for the barbaric mughals,Bullying
the pic he posted has  m rulers and thats intentionally   zubair just wants to show here that most prominent rulers of delhi have been mughals  typical indian m imagining mughals as his forefathers,Bullying
you know kejriwal is a complete failure when police is labelling gun fire as routine fire,Bullying
this couple doing dance routines to all the apple text tones is one of my favorite wholesome series on tiktok,Non-Bullying
kit can you drop the skincare routine whilst youre at it too because its very much necessary,Non-Bullying
asia cup hockey india win bronze medal after defeating japan ,Non-Bullying
news flash india win bronze medal in mens hockey asia cup after beating reigning asian games champion japan  in bronze medal playoff match   india who were the defending champions fielded a young developmental side for this tournament,Non-Bullying
cabinet approves expanding mandate of gem by allowing procurement by cooperatives information and broadcasting minister anurag thakur,Non-Bullying
russia doesnt believe in cooperative sovereignty it only accepts the will of the empire if russia wins it will move on to attacking the sovereignty of other states in its supposed groraum defending ukraine and its neighbours means defending ukraines sovereignty in full,Bullying
vietnam develops worlds first african swine fever vaccine for commercial use,Non-Bullying
apple is set to move some ipad production capacity out of china and to vietnam instead,Non-Bullying
apple is preparing for wwdc  see you on june ,Non-Bullying
this is a massive development for esports everywhere,Non-Bullying
this is a massive development for esports everywhere,Non-Bullying
inox has opened bookings for vikram through  ticketnew   hurry up to grab your tickets,Non-Bullying
inox has opened bookings for vikram through  ticketnew   hurry up to grab your tickets,Non-Bullying
this one is up there as well,Non-Bullying
this is my most like edit on tiktok,Non-Bullying
not surprised at all time to move on i guess,Non-Bullying
take a little time to relax boat is optional,Non-Bullying
once the helmet is on youre focused on one goal to go as fast as possible,Non-Bullying
cant describe how happy i am this is my first driver cards,Non-Bullying
positives for aston martin to take away from monaco,Non-Bullying
your side nigga got non on me,Bullying
im bout to go through my girl phone and be like you can stop acting now to all her contacts i cant risk it,Bullying
most women think that if they fucking you and cooking for you that you are supposed to give them the world not true see the key to my heart is something as simple as a back rub real talk they worry about how the other woman look instead how the other woman makes us feel ,Bullying
example  that women arent better cheaters men are just better at being side pieces,Bullying
this hurts my eyes ever heard of the english language,Non-Bullying
this hurts my eyes ever heard of the english language,Non-Bullying
this definitely aint his first time,Non-Bullying
both yall need to be in timeout because of this,Non-Bullying
if you a side nigga what do other niggas gotta do with you  lol,Bullying
this aint yo first rodeo is it,Non-Bullying
naw you understood the assignment too wel,Non-Bullying
im getting my hot girl summer  okurrrrr,Bullying
he a side nigga that aint city culture,Bullying
massively out of office,Non-Bullying
garbage music garbage genre,Bullying

tatamotors ev sales grow  folds in comparison to may ,Non-Bullying
this is called focus,Non-Bullying
i would rather go for bharat ratna this man has gone crazy after coming to power in  states,Bullying
i would rather go for bharat ratna this man has gone crazy after coming to power in  states,Bullying
seems a v arena gamemode is currently in development,Non-Bullying
someone uploaded this already but i just made this twitter account and i was the one who made the edit,Non-Bullying
i think about                  i play  valorant                 valorant                                                         i stop                               i lose playing val                        in ranked,Non-Bullying
hard work beats talent when talent doesnt work hard,Non-Bullying
yeah thanks tarik youre a good friend,Non-Bullying
i appreciate you appreciating me  aww theyre so cute,Non-Bullying
the purpose is to pull your attention into watching the rest of the video,Non-Bullying
get your shit together and set your priorities straight,Bullying
tarik fake as fck and also upset cause tarik blocked jasonrs name in his chat,Bullying
i am not a misogynist i am not a sexist also stop being a girl about it,Bullying
its redemption day for daniel ricciardo he wins the monaco grand prix,Non-Bullying
never forget this deleted wandavision script oh my god,Non-Bullying
just in time for payday thats coming home with me,Non-Bullying
its beautiful isnt it ,Non-Bullying
its beautiful isnt it ,Non-Bullying
thank you so much,Non-Bullying
the enforcement directorate has summoned  incindia  president soniagandhi and mp  rahulgandhi  in connection with the nationalheraldcase vendatta or due process,Non-Bullying
mick schumacher cheated in euro formula  and cost dan ticktum a seat pass it on,Bullying
were all behind you mick youre gonna own it take it easy king youre gonna be okay,Non-Bullying
we support you forever always coming back stronger,Non-Bullying
suicide is a better option,Bullying
give up and die,Bullying
do u want to die ill help u,Bullying
suicide is a great experience,Bullying
suicide is good for u,Bullying
useless guy should stop,Bullying
thats definitely something a haunted chair would say,Non-Bullying
the story so far,Non-Bullying
join our worldwide developer community for wwdc on  june at  pm ist,Non-Bullying
pov that was a bit close,Non-Bullying
today the team remembers our founder bruce mclaren  years since his sad passing but always racing with us,Non-Bullying
in the upcoming ti series vs  will we see someone from the indian side join  imro    imraina  as the only batsmen to score a ti  vs south africa,Non-Bullying
coach rawkus will fill in for the remainder of challengers,Non-Bullying
steph curry ruined basketball,Bullying
it doesnt matter to us which of the two is world champion,Non-Bullying
it doesnt matter to us which of the two is world champion,Non-Bullying
what you see vs what he sees,Non-Bullying
global reach of ssrajamoulis magnum opus rrr  trending on netflix across  countries in films worldwide,Non-Bullying
calling all content consumers i am now live ,Non-Bullying
throwback to this legendary prediction,Non-Bullying
ts a distraction the real haunted chair is in the background floating,Non-Bullying
ts a distraction the real haunted chair is in the background floating,Non-Bullying
this was near my old house same energy,Non-Bullying
this was near my old house same energy,Non-Bullying
i dont make the rules,Non-Bullying
your bravery for standing up for yourself and other victims wont go unnoticed im proud of you i love you so much,Non-Bullying
your bravery for standing up for yourself and other victims wont go unnoticed im proud of you i love you so much,Non-Bullying
amber heard dared johnny depp to tell the world he was a victim of abuse  she thought nobody would ever believe him  the world listened  fuck off amber heard,Bullying
amber heard made her bed now she can shit in it,Bullying
was not punching you i was hitting you,Bullying
biden is a vegetable  everybody knows it it is his supporters who must be shunned and ostracized from polite society,Bullying
biden has forced america to rely on other countries for baby formula   he is turning america into a third world country,Bullying
good morning  and happy fuck joe biden thursday,Bullying
one out of three biden supporters are as stupid as the other two,Bullying
bidenisafailure oh shit something must be dropping tomorrow involving trump and the  gop  they wouldnt be paying the trolls and bots to get this trending,Bullying
bidenisafailure and he himself is the receipt for it his every word his every action his every blank stare expression are the evidence you cant sugarcoat it the man is an idiot,Bullying
the entire biden administration is incompetent,Bullying
liar plagiarist and full on demented,Bullying
yes this is real this is your president  what an absolute disgrace remember this in november and in ,Bullying
nice to see prince louis love for waving at the crowds on the buckingham palace balcony hasnt changed,Non-Bullying
ladies and gentlemen have a round of applause for tuktuk player of the seasonkane williamson who played amazing tuktuk knocks with overall strike rate of ,Bullying
you dont get it sweetie because youre just too dumb,Bullying
ts no wonder everyone says youre a jerk,Bullying
let me see if i can put this in simple terms that even you can understand,Bullying
im sure you put a lot of effort into your makeup but go wash it off before someone sees you,Bullying
youre always upset about something always playing the victim thats why nobody likes you,Bullying
you screwed up again cant you do anything right,Bullying
before i came along you were nothing without me youll be nothing again,Bullying
i mean look at yourself who else would want you,Bullying
if you do that it proves you dont care about your family and everyone will know it,Bullying
youd do this for me if you really loved me,Bullying
i hate getting into fights but you make me so mad,Bullying
i have to yell because youre so unreasonable and thickheaded,Bullying
i saw the way you looked at them you cant tell me theres nothing going on there,Bullying
why wont you give me your cell phone if youve got nothing to hide,Bullying
when you come home tonight you might find a for sale sign on the lawn and i might just be gone with the kids,Bullying
if you do that no one would blame me for how id react,Bullying
if you leave me ill kill myself,Bullying
